Date,Value
2023-01-01,0.30259
2023-01-08,0.30282
2023-01-15,0.29906
2023-01-22,0.29999
2023-01-29,0.29963
2023-02-05,0.30128
2023-02-12,0.30033
2023-02-19,0.30228
2023-02-26,0.30158
2023-03-05,0.30114
2023-03-12,0.30162
2023-03-19,0.30122
2023-03-26,0.30311
2023-04-02,0.30274
2023-04-09,0.3049
2023-04-16,0.30262
2023-04-23,0.30165
2023-04-30,0.30262
2023-05-07,0.30308
2023-05-14,0.30282
2023-05-21,0.3021
2023-05-28,0.30376
2023-06-04,0.30268
2023-06-11,0.30181
2023-06-18,0.30107
2023-06-25,0.30324
2023-07-02,0.30422
2023-07-09,0.30217
2023-07-16,0.30058
2023-07-23,0.30222
2023-07-30,0.3012
2023-08-06,0.30237
2023-08-13,0.30217
2023-08-20,0.30102
2023-08-27,0.3019
2023-09-03,0.30177
2023-09-10,0.30099
2023-09-17,0.30172
2023-09-24,0.3026
2023-10-01,0.30159
2023-10-08,0.30345
2023-10-15,0.304
2023-10-22,0.3026
2023-10-29,0.3017
2023-11-05,0.3019
2023-11-12,0.3034
2023-11-19,0.30471
2023-11-26,0.30505
2023-12-03,0.30381
2023-12-10,0.3044
2023-12-17,0.30331
2023-12-24,0.30306
2023-12-31,0.30331
2024-01-07,0.30394
2024-01-14,0.30353
2024-01-21,0.30524
2024-01-28,0.30488
2024-02-04,0.3054
2024-02-11,0.30512
2024-02-18,0.30581
2024-02-25,0.30317
2024-03-03,0.30727
2024-03-10,0.3076
2024-03-17,0.30763
2024-03-24,0.30986
2024-03-31,0.31126
2024-04-07,0.31113
2024-04-14,0.30939
2024-04-21,0.30998
2024-04-28,0.30996
2024-05-05,0.30934
2024-05-12,0.31007
2024-05-19,0.31107
2024-05-26,0.31164
2024-06-02,0.30946
2024-06-09,0.30809
2024-06-16,0.3075
2024-06-23,0.30513
2024-06-30,0.30352
2024-07-07,0.30213
2024-07-14,0.30244
2024-07-21,0.30429
2024-07-28,0.30497
2024-08-04,0.30639
2024-08-11,0.30489
2024-08-18,0.30778
2024-08-25,0.30917
2024-09-01,0.31065
2024-09-08,0.31109
2024-09-15,0.30912
2024-09-22,0.30872
2024-09-29,0.3093
2024-10-06,0.30849
2024-10-13,0.30905
2024-10-20,0.30779
2024-10-27,0.30788
2024-11-03,0.30935
2024-11-10,0.31097
2024-11-17,0.31227
2024-11-24,0.31258
2024-12-01,0.31437
2024-12-08,0.31413
2024-12-15,0.31312
2024-12-22,0.31243
2024-12-29,0.31207
2025-01-05,0.31136
2025-01-12,0.31178
2025-01-19,0.31179
2025-01-26,0.31236
2025-02-02,0.31117
2025-02-09,0.31231
2025-02-16,0.31323
2025-02-23,0.31324
2025-03-02,0.31476
2025-03-09,0.31418
2025-03-16,0.3137
2025-03-23,0.3112
2025-03-30,0.31361
2025-04-06,0.31406
2025-04-13,0.31638
2025-04-20,0.31864
2025-04-27,0.31864
2025-05-04,0.32048
2025-05-11,0.32105
2025-05-18,0.32066
2025-05-25,0.32191
2025-06-01,0.32268
2025-06-08,0.32296
2025-06-15,0.3232
2025-06-22,0.3233
2025-06-29,0.32332
2025-07-06,0.32153
2025-07-13,0.3212
2025-07-20,0.32336
2025-07-27,0.32449
2025-08-03,0.32486
2025-08-10,0.32593
2025-08-17,0.32406
2025-08-24,0.32307
2025-08-31,0.32345
2025-09-07,0.32608
2025-09-14,0.32514
2025-09-21,0.32473
2025-09-28,0.32753
2025-10-05,0.32835
2025-10-12,0.32842
2025-10-19,0.32773
2025-10-26,0.32488
2025-11-02,0.32379
2025-11-09,0.32464
2025-11-16,0.32618
2025-11-23,0.32344
2025-11-30,0.3228
2025-12-07,0.3228
2025-12-14,0.32558
2025-12-21,0.32766
2025-12-28,0.32826
2026-01-04,0.33249
2026-01-11,0.33351
2026-01-18,0.33336
2026-01-25,0.33506
2026-02-01,0.33338
2026-02-08,0.3329
2026-02-15,0.33068
2026-02-22,0.33184
2026-03-01,0.33253
2026-03-08,0.33333
2026-03-15,0.33428
2026-03-22,0.33651
2026-03-29,0.34001
2026-04-05,0.3407
2026-04-12,0.33773
2026-04-19,0.3389
2026-04-26,0.34274
2026-05-03,0.34322
2026-05-10,0.34423
2026-05-17,0.34325
2026-05-24,0.34271
2026-05-31,0.34511
2026-06-07,0.34615
2026-06-14,0.34476
2026-06-21,0.345
2026-06-28,0.342
2026-07-05,0.34341
2026-07-12,0.34181
2026-07-19,0.3418
2026-07-26,0.34087
2026-08-02,0.33957
2026-08-09,0.34153
2026-08-16,0.34099
2026-08-23,0.34103
2026-08-30,0.33931
2026-09-06,0.34102
2026-09-13,0.33894
2026-09-20,0.33811
2026-09-27,0.33633
2026-10-04,0.3354
2026-10-11,0.33595
2026-10-18,0.33803
2026-10-25,0.33731
