Date,Value
2023-01-01,0.29971
2023-01-08,0.30152
2023-01-15,0.29861
2023-01-22,0.2985
2023-01-29,0.29739
2023-02-05,0.29867
2023-02-12,0.29882
2023-02-19,0.29956
2023-02-26,0.29867
2023-03-05,0.29809
2023-03-12,0.29705
2023-03-19,0.29608
2023-03-26,0.29639
2023-04-02,0.29472
2023-04-09,0.29575
2023-04-16,0.29508
2023-04-23,0.29422
2023-04-30,0.29466
2023-05-07,0.29361
2023-05-14,0.29285
2023-05-21,0.29409
2023-05-28,0.29381
2023-06-04,0.29392
2023-06-11,0.29418
2023-06-18,0.29395
2023-06-25,0.29245
2023-07-02,0.2943
2023-07-09,0.29315
2023-07-16,0.29162
2023-07-23,0.29232
2023-07-30,0.29233
2023-08-06,0.29288
2023-08-13,0.29123
2023-08-20,0.28947
2023-08-27,0.28776
2023-09-03,0.28695
2023-09-10,0.28496
2023-09-17,0.28528
2023-09-24,0.28707
2023-10-01,0.28822
2023-10-08,0.28757
2023-10-15,0.28668
2023-10-22,0.28837
2023-10-29,0.287
2023-11-05,0.28626
2023-11-12,0.28653
2023-11-19,0.28511
2023-11-26,0.28493
2023-12-03,0.28193
2023-12-10,0.28175
2023-12-17,0.28137
2023-12-24,0.2817
2023-12-31,0.28229
2024-01-07,0.28149
2024-01-14,0.28078
2024-01-21,0.28139
2024-01-28,0.28187
2024-02-04,0.28233
2024-02-11,0.28259
2024-02-18,0.28311
2024-02-25,0.28312
2024-03-03,0.28209
2024-03-10,0.28262
2024-03-17,0.28298
2024-03-24,0.28319
2024-03-31,0.28462
2024-04-07,0.28461
2024-04-14,0.28547
2024-04-21,0.28661
2024-04-28,0.2874
2024-05-05,0.28519
2024-05-12,0.28252
2024-05-19,0.28169
2024-05-26,0.28369
2024-06-02,0.28208
2024-06-09,0.28249
2024-06-16,0.28117
2024-06-23,0.28266
2024-06-30,0.2825
2024-07-07,0.28367
2024-07-14,0.28226
2024-07-21,0.27985
2024-07-28,0.28204
2024-08-04,0.28038
2024-08-11,0.28014
2024-08-18,0.27975
2024-08-25,0.28112
2024-09-01,0.28008
2024-09-08,0.28173
2024-09-15,0.28004
2024-09-22,0.28152
2024-09-29,0.28382
2024-10-06,0.28356
2024-10-13,0.2836
2024-10-20,0.28146
2024-10-27,0.28218
2024-11-03,0.28418
2024-11-10,0.28409
2024-11-17,0.28552
2024-11-24,0.28426
2024-12-01,0.2852
2024-12-08,0.28163
2024-12-15,0.2818
2024-12-22,0.28236
2024-12-29,0.28028
2025-01-05,0.27841
2025-01-12,0.27753
2025-01-19,0.27489
2025-01-26,0.27523
2025-02-02,0.27648
2025-02-09,0.27826
2025-02-16,0.27797
2025-02-23,0.2756
2025-03-02,0.27642
2025-03-09,0.27736
2025-03-16,0.27951
2025-03-23,0.27943
2025-03-30,0.27989
2025-04-06,0.27954
2025-04-13,0.2775
2025-04-20,0.27704
2025-04-27,0.27817
2025-05-04,0.27884
2025-05-11,0.2804
2025-05-18,0.28452
2025-05-25,0.28322
2025-06-01,0.28354
2025-06-08,0.28367
2025-06-15,0.28306
2025-06-22,0.28209
2025-06-29,0.28006
2025-07-06,0.28273
2025-07-13,0.2832
2025-07-20,0.28345
2025-07-27,0.28452
2025-08-03,0.28454
2025-08-10,0.28444
2025-08-17,0.28413
2025-08-24,0.28343
2025-08-31,0.28255
2025-09-07,0.28285
2025-09-14,0.28492
2025-09-21,0.28469
2025-09-28,0.28349
2025-10-05,0.28267
2025-10-12,0.28191
2025-10-19,0.28324
2025-10-26,0.28517
2025-11-02,0.28699
2025-11-09,0.28687
2025-11-16,0.28546
2025-11-23,0.28521
2025-11-30,0.28393
2025-12-07,0.28465
2025-12-14,0.28545
2025-12-21,0.28338
2025-12-28,0.28387
2026-01-04,0.28238
2026-01-11,0.28216
2026-01-18,0.28199
2026-01-25,0.28315
2026-02-01,0.28342
2026-02-08,0.28248
2026-02-15,0.28338
2026-02-22,0.28355
2026-03-01,0.2822
2026-03-08,0.28414
2026-03-15,0.28457
2026-03-22,0.28533
2026-03-29,0.28333
2026-04-05,0.28157
2026-04-12,0.28087
2026-04-19,0.27952
2026-04-26,0.27998
2026-05-03,0.27875
2026-05-10,0.28014
2026-05-17,0.27891
2026-05-24,0.27605
2026-05-31,0.27635
2026-06-07,0.2795
2026-06-14,0.27902
2026-06-21,0.27764
2026-06-28,0.27841
2026-07-05,0.27752
2026-07-12,0.2783
2026-07-19,0.27746
2026-07-26,0.27619
2026-08-02,0.27873
2026-08-09,0.28127
2026-08-16,0.27763
2026-08-23,0.27753
2026-08-30,0.27776
2026-09-06,0.2789
2026-09-13,0.27686
2026-09-20,0.27641
2026-09-27,0.27506
2026-10-04,0.27387
2026-10-11,0.27323
2026-10-18,0.27284
2026-10-25,0.27151
